Emissions (Tons/MWh),RTE,Tax ($/Ton CO2),Total Cost ($)
419717.55,0.75,20,34492721.48
419717.552,0.75,15,32394133.72
429374.2261,0.75,10,30260003.82
461731.5133,0.75,7,28894279.61
461731.5133,0.75,5,27970816.58
421601.523,0.65,20,34648940.08
421607.75,0.65,15,32540905.17
421607.758,0.65,10,30432866.38
454043.8,0.65,5,28182165.09
454043.8026,0.65,7,29090252.69
424309.29,0.55,10,30625139.64
424309.293,0.55,15,32746686.1
424309.293,0.55,20,34868232.58
456794.76,0.55,7,29274302.8
456794.7675,0.55,5,28360713.26
428344.069,0.45,10,30911889.2
428344.069,0.45,20,35195329.89
428344.0691,0.45,15,33053609.55
460891.08,0.45,5,28627018.25
460891.0892,0.45,7,29548800.43
434990.9262,0.35,7,30007862.92
434990.9262,0.35,10,31391365.36
434990.9262,0.35,15,33566319.99
434990.9262,0.35,20,35741274.62
467735.2142,0.35,5,29072392.49
428837.7246,0.35,50,48760695.85
422399.139,0.45,50,48015287.88
418180.4473,0.55,50,47567954.8
415339.5223,0.65,50,47268445.9
413301.2879,0.75,50,47054747.80